color_layout,empty_box_location,open_box_color,trial_type,filename
BRG,left,red,impossible,BRG_Yellow-left_OpenBox-red_impossible.mov
BRG,left,green,impossible,BRG_Yellow-left_OpenBox-green_impossible.mov
BRG,left,blue,impossible,BRG_Yellow-left_OpenBox-blue_impossible.mov
BRG,right,red,impossible,BRG_Yellow-right_OpenBox-red_impossible.mov
BRG,right,green,impossible,BRG_Yellow-right_OpenBox-green_impossible.mov
BRG,right,blue,impossible,BRG_Yellow-right_OpenBox-blue_impossible.mov
RGB,left,red,impossible,RGB_Yellow-left_OpenBox-red_impossible.mov
RGB,left,green,impossible,RGB_Yellow-left_OpenBox-green_impossible.mov
RGB,left,blue,impossible,RGB_Yellow-left_OpenBox-blue_impossible.mov
RGB,right,red,impossible,RGB_Yellow-right_OpenBox-red_impossible.mov
RGB,right,green,impossible,RGB_Yellow-right_OpenBox-green_impossible.mov
RGB,right,blue,impossible,RGB_Yellow-right_OpenBox-blue_impossible.mov
GBR,left,red,impossible,GBR_Yellow-left_OpenBox-red_impossible.mov
GBR,left,green,impossible,GBR_Yellow-left_OpenBox-green_impossible.mov
GBR,left,blue,impossible,GBR_Yellow-left_OpenBox-blue_impossible.mov
GBR,right,red,impossible,GBR_Yellow-right_OpenBox-red_impossible.mov
GBR,right,green,impossible,GBR_Yellow-right_OpenBox-green_impossible.mov
GBR,right,blue,impossible,GBR_Yellow-right_OpenBox-blue_impossible.mov
BRG,left,red,guess,BRG_Yellow-left_OpenBox-red_guess.mov
BRG,left,green,guess,BRG_Yellow-left_OpenBox-green_guess.mov
BRG,left,blue,guess,BRG_Yellow-left_OpenBox-blue_guess.mov
BRG,right,red,guess,BRG_Yellow-right_OpenBox-red_guess.mov
BRG,right,green,guess,BRG_Yellow-right_OpenBox-green_guess.mov
BRG,right,blue,guess,BRG_Yellow-right_OpenBox-blue_guess.mov
RGB,left,red,guess,RGB_Yellow-left_OpenBox-red_guess.mov
RGB,left,green,guess,RGB_Yellow-left_OpenBox-green_guess.mov
RGB,left,blue,guess,RGB_Yellow-left_OpenBox-blue_guess.mov
RGB,right,red,guess,RGB_Yellow-right_OpenBox-red_guess.mov
RGB,right,green,guess,RGB_Yellow-right_OpenBox-green_guess.mov
RGB,right,blue,guess,RGB_Yellow-right_OpenBox-blue_guess.mov
GBR,left,red,guess,GBR_Yellow-left_OpenBox-red_guess.mov
GBR,left,green,guess,GBR_Yellow-left_OpenBox-green_guess.mov
GBR,left,blue,guess,GBR_Yellow-left_OpenBox-blue_guess.mov
GBR,right,red,guess,GBR_Yellow-right_OpenBox-red_guess.mov
GBR,right,green,guess,GBR_Yellow-right_OpenBox-green_guess.mov
GBR,right,blue,guess,GBR_Yellow-right_OpenBox-blue_guess.mov
BRG,left,red,correct-inf,BRG_Yellow-left_OpenBox-red_correct-inf.mov
BRG,left,green,correct-inf,BRG_Yellow-left_OpenBox-green_correct-inf.mov
BRG,left,blue,correct-inf,BRG_Yellow-left_OpenBox-blue_correct-inf.mov
BRG,right,red,correct-inf,BRG_Yellow-right_OpenBox-red_correct-inf.mov
BRG,right,green,correct-inf,BRG_Yellow-right_OpenBox-green_correct-inf.mov
BRG,right,blue,correct-inf,BRG_Yellow-right_OpenBox-blue_correct-inf.mov
RGB,left,red,correct-inf,RGB_Yellow-left_OpenBox-red_correct-inf.mov
RGB,left,green,correct-inf,RGB_Yellow-left_OpenBox-green_correct-inf.mov
RGB,left,blue,correct-inf,RGB_Yellow-left_OpenBox-blue_correct-inf.mov
RGB,right,red,correct-inf,RGB_Yellow-right_OpenBox-red_correct-inf.mov
RGB,right,green,correct-inf,RGB_Yellow-right_OpenBox-green_correct-inf.mov
RGB,right,blue,correct-inf,RGB_Yellow-right_OpenBox-blue_correct-inf.mov
GBR,left,red,correct-inf,GBR_Yellow-left_OpenBox-red_correct-inf.mov
GBR,left,green,correct-inf,GBR_Yellow-left_OpenBox-green_correct-inf.mov
GBR,left,blue,correct-inf,GBR_Yellow-left_OpenBox-blue_correct-inf.mov
GBR,right,red,correct-inf,GBR_Yellow-right_OpenBox-red_correct-inf.mov
GBR,right,green,correct-inf,GBR_Yellow-right_OpenBox-green_correct-inf.mov
GBR,right,blue,correct-inf,GBR_Yellow-right_OpenBox-blue_correct-inf.mov
